MIME type,compressed,Go compression package
application/vnd.fuzzysheet,FALSE,
image/g3fax,FALSE,
application/vnd.groove-account,FALSE,
model/vnd.gdl,FALSE,
application/vnd.dynageo,FALSE,
application/vnd.geometry-explorer,FALSE,
application/vnd.geogebra.file,FALSE,
application/vnd.geogebra.tool,FALSE,
application/vnd.groove-help,FALSE,
image/gif,TRUE,compress/lzw
application/vnd.groove-identity-message,FALSE,
application/vnd.gmx,FALSE,
application/x-gnumeric,FALSE,
application/vnd.flographit,FALSE,
application/vnd.grafeq,FALSE,
application/srgs,FALSE,
application/vnd.groove-injector,FALSE,
application/srgs+xml,FALSE,
application/x-font-ghostscript,FALSE,
application/x-gtar,FALSE,
application/vnd.groove-tool-message,FALSE,
model/vnd.gtw,FALSE,
text/vnd.graphviz,FALSE,
application/x-gzip,TRUE,archive/tar + compress/gzip
application/gzip,TRUE,archive/tar + compress/gzip
video/h261,FALSE,
gcode,FALSE,
video/h263,FALSE,
video/h264,FALSE,
application/vnd.hbci,FALSE,
application/vnd.gerber,FALSE,
application/x-hdf,FALSE,
application/winhlp,FALSE,
application/vnd.hp-hpgl,FALSE,
application/vnd.hp-hpid,FALSE,
application/vnd.hp-hps,FALSE,
application/mac-binhex40,FALSE,
application/vnd.kenameaapp,FALSE,
text/html,FALSE,
application/vnd.yamaha.hv-dic,FALSE,
application/vnd.yamaha.hv-voice,FALSE,
application/vnd.yamaha.hv-script,FALSE,
application/vnd.iccprofile,FALSE,
x-conference/x-cooltalk,FALSE,
image/x-icon,FALSE,
text/calendar,FALSE,
image/ief,FALSE,
application/vnd.shana.informed.formdata,FALSE,
model/iges,FALSE,
application/vnd.igloader,FALSE,
application/vnd.micrografx.igx,FALSE,
application/vnd.shana.informed.interchange,FALSE,
application/vnd.accpac.simply.imp,FALSE,
application/vnd.ms-ims,FALSE,
application/vnd.shana.informed.package,FALSE,
application/vnd.ibm.rights-management,FALSE,
application/vnd.irepository.package+xml,FALSE,
application/vnd.shana.informed.formtemplate,FALSE,
application/vnd.immervision-ivp,FALSE,
application/vnd.immervision-ivu,FALSE,
text/vnd.sun.j2me.app-descriptor,FALSE,
application/vnd.jam,FALSE,
application/java-archive,TRUE,archive/zip
text/x-java-source,FALSE,
application/vnd.jisp,FALSE,
application/vnd.hp-jlyt,FALSE,
application/x-java-jnlp-file,FALSE,
application/vnd.joost.joda-archive,FALSE,
image/jpeg,FALSE,
image/pjpeg,FALSE,
video/jpm,FALSE,
video/jpeg,FALSE,
application/x-trash,FALSE,
application/x-shellscript,FALSE,
text/javascript,FALSE,
application/json,FALSE,
audio/midi,FALSE,
audio/aiff,FALSE,
audio/opus,FALSE,
application/vnd.kde.karbon,FALSE,
application/vnd.kde.kformula,FALSE,
application/vnd.kidspiration,FALSE,
application/x-killustrator,FALSE,
application/vnd.google-earth.kml+xml,FALSE,
application/vnd.google-earth.kmz,TRUE,archive/zip
application/vnd.kinar,FALSE,
application/vnd.kde.kontour,FALSE,
application/vnd.kde.kpresenter,FALSE,
application/vnd.kde.kspread,FALSE,
application/vnd.kahootz,FALSE,
application/vnd.kde.kword,FALSE,
application/x-latex,FALSE,
application/vnd.llamagraphics.life-balance.desktop,FALSE,
application/vnd.llamagraphics.life-balance.exchange+xml,FALSE,
application/vnd.hhe.lesson-player,FALSE,
application/vnd.route66.link66+xml,FALSE,
application/lost+xml,FALSE,
application/vnd.ms-lrm,FALSE,
application/vnd.frogans.ltf,FALSE,
audio/vnd.lucent.voice,FALSE,
application/vnd.lotus-wordpro,FALSE,
application/x-msmediaview,FALSE,
video/mpeg,FALSE,
audio/mpeg,FALSE,
audio/x-mpegurl,FALSE,
video/vnd.mpegurl,FALSE,
video/x-m4v,FALSE,
application/mathematica,FALSE,
application/vnd.ecowin.chart,FALSE,
text/troff,FALSE,
application/mathml+xml,FALSE,
text/mathml,FALSE,
application/vnd.sqlite3,FALSE,
application/vnd.mobius.mbk,FALSE,
application/mbox,FALSE,
application/vnd.medcalcdata,FALSE,
application/vnd.mcd,FALSE,
text/vnd.curl.mcurl,FALSE,
application/x-msaccess,FALSE,
image/vnd.ms-modi,FALSE,
model/mesh,FALSE,
application/vnd.mfmp,FALSE,
application/vnd.proteus.magazine,FALSE,
application/vnd.mif,FALSE,
video/mj2,FALSE,
application/vnd.dolby.mlp,FALSE,
application/vnd.chipnuts.karaoke-mmd,FALSE,
application/vnd.smaf,FALSE,
image/vnd.fujixerox.edmics-mmr,FALSE,
application/x-msmoney,FALSE,
application/x-mobipocket-ebook,FALSE,
video/quicktime,FALSE,
video/x-sgi-movie,FALSE,
video/mp4,FALSE,
application/x-iso9660-image,FALSE,
application/yaml,FALSE,
application/mp4,FALSE,
application/vnd.mophun.certificate,FALSE,
application/vnd.apple.installer+xml,FALSE,
application/vnd.blueice.multipass,FALSE,
application/vnd.mophun.application,FALSE,
application/vnd.ms-project,FALSE,
application/vnd.ibm.minipay,FALSE,
application/vnd.mobius.mqy,FALSE,
application/marc,FALSE,
application/mediaservercontrol+xml,FALSE,
application/vnd.fdsn.mseed,FALSE,
application/vnd.mseq,FALSE,
application/vnd.epson.msf,FALSE,
application/vnd.mobius.msl,FALSE,
application/vnd.muvee.style,FALSE,
model/vnd.mts,FALSE,
application/vnd.musician,FALSE,
application/vnd.recordare.musicxml+xml,FALSE,
application/vnd.mfer,FALSE,
application/mxf,FALSE,
application/vnd.recordare.musicxml,FALSE,
application/xv+xml,FALSE,
application/vnd.triscape.mxs,FALSE,
application/vnd.nokia.n-gage.symbian.install,FALSE,
application/x-dtbncx+xml,FALSE,
application/vnd.nokia.n-gage.data,FALSE,
application/vnd.neurolanguage.nlu,FALSE,
application/vnd.enliven,FALSE,
application/vnd.noblenet-directory,FALSE,
application/vnd.noblenet-sealer,FALSE,
application/vnd.noblenet-web,FALSE,
image/vnd.net-fpx,FALSE,
application/vnd.lotus-notes,FALSE,
application/vnd.fujitsu.oasys2,FALSE,
application/vnd.fujitsu.oasys3,FALSE,
application/vnd.fujitsu.oasys,FALSE,
application/x-msbinder,FALSE,
application/oda,FALSE,
application/vnd.oasis.opendocument.database,FALSE,
application/vnd.oasis.opendocument.chart,FALSE,
application/vnd.oasis.opendocument.formula,FALSE,
application/vnd.oasis.opendocument.formula-template,FALSE,
application/vnd.oasis.opendocument.graphics,FALSE,
application/vnd.oasis.opendocument.image,FALSE,
application/vnd.oasis.opendocument.presentation,FALSE,
application/vnd.oasis.opendocument.spreadsheet,FALSE,
application/vnd.oasis.opendocument.text,FALSE,
audio/ogg,FALSE,
video/x-matroska,FALSE,
audio/x-matroska,FALSE,
video/ogg,FALSE,
application/ogg,FALSE,
application/onenote,FALSE,
application/oebps-package+xml,FALSE,
application/vnd.palm,FALSE,
application/vnd.lotus-organizer,FALSE,
application/vnd.yamaha.openscoreformat,FALSE,
application/vnd.yamaha.openscoreformat.osfpvg+xml,FALSE,
application/vnd.oasis.opendocument.chart-template,FALSE,
font/woff,FALSE,
font/woff2,FALSE,
application/x-redhat-package-manager,FALSE,
application/x-perl,FALSE,
audio/webm,FALSE,
video/webm,FALSE,
image/webp,FALSE,
application/x-font-otf,FALSE,
font/otf,FALSE,
application/vnd.oasis.opendocument.graphics-template,FALSE,
application/vnd.oasis.opendocument.text-web,FALSE,
application/vnd.oasis.opendocument.image-template,FALSE,
application/vnd.oasis.opendocument.text-master,FALSE,
application/vnd.oasis.opendocument.presentation-template,FALSE,
